District,Year,Zn_%,Fe_%,Cu_%,Mn_%,B_%,S_%,Projected_Price_INR_per_Acre
Anantapur,2025,67.67,65.14,91.88,77.7,73.54,85.9,1427363.6
Anantapur,2024,67.67,65.14,91.88,77.7,73.54,85.9,1352239.2
Anantapur,2023,67.67,65.14,91.88,77.7,73.54,85.9,1277114.8
Anantapur,2022,67.67,65.14,91.88,77.7,73.54,85.9,1201990.4
Anantapur,2021,67.67,65.14,91.88,77.7,73.54,85.9,1126866
Anantapur,2025,67.67,65.14,91.88,77.7,73.54,85.9,1533068.2
Anantapur,2024,67.67,65.14,91.88,77.7,73.54,85.9,1452380.4
Anantapur,2023,67.67,65.14,91.88,77.7,73.54,85.9,1371692.6
Anantapur,2022,67.67,65.14,91.88,77.7,73.54,85.9,1291004.8
Anantapur,2021,67.67,65.14,91.88,77.7,73.54,85.9,1210317
Anantapur,2025,67.67,65.14,91.88,77.7,73.54,85.9,1698692.15
Anantapur,2024,67.67,65.14,91.88,77.7,73.54,85.9,1609287.3
Anantapur,2023,67.67,65.14,91.88,77.7,73.54,85.9,1519882.45
Anantapur,2022,67.67,65.14,91.88,77.7,73.54,85.9,1430477.6
Anantapur,2021,67.67,65.14,91.88,77.7,73.54,85.9,1341072.75
Anantapur,2025,67.67,65.14,91.88,77.7,73.54,85.9,1623503.45
Anantapur,2024,67.67,65.14,91.88,77.7,73.54,85.9,1538055.9
Anantapur,2023,67.67,65.14,91.88,77.7,73.54,85.9,1452608.35
Anantapur,2022,67.67,65.14,91.88,77.7,73.54,85.9,1367160.8
Anantapur,2021,67.67,65.14,91.88,77.7,73.54,85.9,1281713.25
Anantapur,2025,67.67,65.14,91.88,77.7,73.54,85.9,1958580.8
Anantapur,2024,67.67,65.14,91.88,77.7,73.54,85.9,1855497.6
Anantapur,2023,67.67,65.14,91.88,77.7,73.54,85.9,1752414.4
Anantapur,2022,67.67,65.14,91.88,77.7,73.54,85.9,1649331.2
Anantapur,2021,67.67,65.14,91.88,77.7,73.54,85.9,1546248
Chittoor,2025,80.51,78.19,99.77,91.82,89.04,88.62,1531137.8
Chittoor,2024,80.51,78.19,99.77,91.82,89.04,88.62,1450551.6
Chittoor,2023,80.51,78.19,99.77,91.82,89.04,88.62,1369965.4
Chittoor,2022,80.51,78.19,99.77,91.82,89.04,88.62,1289379.2
Chittoor,2021,80.51,78.19,99.77,91.82,89.04,88.62,1208793
Chittoor,2025,80.51,78.19,99.77,91.82,89.04,88.62,1672870.2
Chittoor,2024,80.51,78.19,99.77,91.82,89.04,88.62,1584824.4
Chittoor,2023,80.51,78.19,99.77,91.82,89.04,88.62,1496778.6
Chittoor,2022,80.51,78.19,99.77,91.82,89.04,88.62,1408732.8
Chittoor,2021,80.51,78.19,99.77,91.82,89.04,88.62,1320687
Chittoor,2025,80.51,78.19,99.77,91.82,89.04,88.62,1754334.6
Chittoor,2024,80.51,78.19,99.77,91.82,89.04,88.62,1662001.2
Chittoor,2023,80.51,78.19,99.77,91.82,89.04,88.62,1569667.8
Chittoor,2022,80.51,78.19,99.77,91.82,89.04,88.62,1477334.4
Chittoor,2021,80.51,78.19,99.77,91.82,89.04,88.62,1385001
